customer_id,company_name,industry,country,city,signup_date,plan_type,account_manager
CUS0001,Acme Corp,Education,UK,London,2022-01-26,Growth,James Patel
CUS0002,Brightwave Solutions,Fintech,Canada,Toronto,2024-01-25,Starter,Priya Sharma
CUS0003,CloudNine Tech,SaaS,Singapore,Singapore,2022-02-02,Starter,James Patel
CUS0004,DataPulse Inc,SaaS,Australia,Sydney,2023-06-02,Growth,Priya Sharma
CUS0005,EchoSystems,Consulting,Singapore,Singapore,2022-08-14,Growth,Sarah Mitchell
CUS0006,FlowStack,Media,Canada,Toronto,2023-12-16,Pro,Emma Rodriguez
CUS0007,GridForce,Logistics,Canada,Toronto,2022-08-09,Starter,Sarah Mitchell
CUS0008,HorizonAI,Logistics,Singapore,Singapore,2022-04-10,Pro,Priya Sharma
CUS0009,InnovateCo,SaaS,Germany,Berlin,2024-04-06,Enterprise,Priya Sharma
CUS0010,JetStream Analytics,Fintech,UK,London,2023-01-23,Growth,Priya Sharma
CUS0011,KineticData,E-commerce,India,Bangalore,2023-08-15,Starter,Sarah Mitchell
CUS0012,LunaMetrics,Education,Australia,Sydney,2024-03-02,Starter,James Patel
CUS0013,MindBridge,Education,UK,London,2023-01-25,Enterprise,Emma Rodriguez
CUS0014,NexusCloud,Logistics,Canada,Toronto,2023-01-15,Growth,Emma Rodriguez
CUS0015,Optify,Healthcare,UK,London,2023-09-16,Growth,James Patel
CUS0016,PeakPerformance,Education,Netherlands,Amsterdam,2023-01-24,Growth,Emma Rodriguez
CUS0017,QuantumLeap,SaaS,USA,New York,2022-08-23,Pro,David Chen
CUS0018,RapidScale,E-commerce,Germany,Berlin,2022-03-09,Pro,James Patel
CUS0019,SnapInsights,Consulting,Netherlands,Amsterdam,2023-02-10,Growth,Emma Rodriguez
CUS0020,TrueNorth,Education,Canada,Toronto,2022-09-10,Pro,Priya Sharma
CUS0021,UpwardTrend,E-commerce,Singapore,Singapore,2023-01-06,Growth,Priya Sharma
CUS0022,VelocityHQ,SaaS,Netherlands,Amsterdam,2022-04-04,Starter,James Patel
CUS0023,WaveAnalytics,Media,Canada,Toronto,2024-03-22,Starter,David Chen
CUS0024,XcelData,Consulting,Singapore,Singapore,2023-09-03,Growth,Priya Sharma
CUS0025,YieldForce,Fintech,USA,New York,2023-11-28,Growth,Emma Rodriguez
CUS0026,ZenithTech,Media,UK,London,2022-10-28,Growth,David Chen
CUS0027,AlphaStream,Education,USA,New York,2024-01-10,Growth,Priya Sharma
CUS0028,BetaWorks,Education,UK,London,2024-06-10,Growth,James Patel
CUS0029,ClearPath,Healthcare,India,Bangalore,2024-02-20,Starter,Priya Sharma
CUS0030,DeltaDrive,SaaS,India,Bangalore,2023-05-16,Starter,Emma Rodriguez
CUS0031,EpicData,SaaS,Germany,Berlin,2022-09-03,Growth,Priya Sharma
CUS0032,FusionTech,Consulting,UK,London,2022-03-29,Starter,Priya Sharma
CUS0033,GlobalMetrics,Consulting,Canada,Toronto,2022-05-12,Growth,Emma Rodriguez
CUS0034,HyperScale,E-commerce,Singapore,Singapore,2022-08-05,Growth,David Chen
CUS0035,ImpactIO,Consulting,India,Bangalore,2023-03-25,Starter,James Patel
CUS0036,JunctionAI,Logistics,Australia,Sydney,2022-03-07,Starter,Priya Sharma
CUS0037,KaleidoSoft,E-commerce,Australia,Sydney,2023-08-26,Starter,Sarah Mitchell
CUS0038,LaunchPad,Fintech,USA,New York,2022-08-23,Starter,Emma Rodriguez
CUS0039,MomentumCo,E-commerce,UK,London,2023-06-11,Growth,David Chen
CUS0040,NorthStar,Healthcare,Australia,Sydney,2023-07-07,Enterprise,James Patel
CUS0041,OmegaCloud,Media,Netherlands,Amsterdam,2024-04-06,Growth,Sarah Mitchell
CUS0042,PivotPoint,Media,UK,London,2023-11-06,Pro,David Chen
CUS0043,QuickInsights,SaaS,Singapore,Singapore,2023-04-24,Starter,Sarah Mitchell
CUS0044,RiseAnalytics,Logistics,Singapore,Singapore,2024-01-16,Starter,James Patel
CUS0045,ScaleUp,Consulting,Australia,Sydney,2022-07-14,Growth,David Chen
CUS0046,TechVault,Consulting,Canada,Toronto,2022-10-13,Growth,Sarah Mitchell
CUS0047,UniqueData,Fintech,Netherlands,Amsterdam,2024-04-07,Starter,Priya Sharma
CUS0048,VantagePoint,E-commerce,USA,New York,2022-04-06,Growth,David Chen
CUS0049,WarpSpeed,E-commerce,Netherlands,Amsterdam,2023-05-08,Pro,Sarah Mitchell
CUS0050,ZeroToOne,SaaS,Canada,Toronto,2023-01-24,Pro,Emma Rodriguez
CUS0051,Company 51,Media,Netherlands,Amsterdam,2022-10-20,Enterprise,James Patel
CUS0052,Company 52,E-commerce,Australia,Sydney,2022-10-31,Starter,Priya Sharma
CUS0053,Company 53,Logistics,USA,New York,2024-02-05,Starter,Sarah Mitchell
CUS0054,Company 54,Healthcare,Netherlands,Amsterdam,2023-05-30,Starter,Priya Sharma
CUS0055,Company 55,Healthcare,UK,London,2024-05-21,Starter,Priya Sharma
CUS0056,Company 56,E-commerce,UK,London,2023-11-23,Pro,Sarah Mitchell
CUS0057,Company 57,SaaS,Australia,Sydney,2023-08-16,Starter,David Chen
CUS0058,Company 58,E-commerce,India,Bangalore,2022-09-25,Pro,James Patel
CUS0059,Company 59,Healthcare,Germany,Berlin,2023-02-10,Growth,David Chen
CUS0060,Company 60,Fintech,India,Bangalore,2024-02-09,Starter,David Chen
CUS0061,Company 61,E-commerce,UK,London,2022-03-17,Growth,James Patel
CUS0062,Company 62,Fintech,India,Bangalore,2024-06-21,Growth,Emma Rodriguez
